i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
59,21778.75,48.17832198200827,8410640000.0,-41442.166602362006,-333444.1666021347
60,21779.0,48.429068065339294,8410640000.0,-41438.080610926656,-333440.08061122894
60,21779.25,48.037268116964626,8410640000.0,-41433.822071727445,-333435.8220720291
60,21779.5,48.58446400699753,8410640000.0,-41429.85058746015,-333431.85058784485
60,21779.75,47.55328289343147,8410640000.0,-41425.661728207866,-333427.6617279053
61,21780.0,48.9955717968851,8410640000.0,-41421.5787960125,-333423.5787963867
61,21780.25,48.60980723013183,8410640000.0,-41417.47127041202,-333419.4712705612
61,21780.5,47.23824227040274,8410640000.0,-41413.389496574404,-333415.3894968033
61,21780.75,47.831906351208715,8410640000.0,-41409.1487456486,-333411.1487455368
62,21781.0,47.30970351803275,8410640000.0,-41405.10776722775,-333407.1077671051
62,21781.25,47.03604812556633,8410640000.0,-41400.964146881444,-333402.9641466141
62,21781.5,46.16011183814579,8410640000.0,-41396.769194948334,-333398.76919460297
62,21781.75,48.348316441580536,8410640000.0,-41392.66105967277,-333394.6610593796
63,21782.0,47.81723161853319,8410640000.0,-41388.56185918997,-333390.56185913086
63,21782.25,47.741118898109534,8410640000.0,-41384.44065796748,-333386.44065761566
63,21782.5,47.044745637104626,8410640000.0,-41380.38530775091,-333382.385307312
63,21782.75,46.67325740589686,8410640000.0,-41376.19044057834,-333378.1904401779
64,21783.0,48.78959986152123,8410640000.0,-41371.928706094885,-333373.9287061691
64,21783.25,48.52290425476911,8410640000.0,-41367.96215395296,-333369.9621543884
64,21783.5,49.428101425316086,8410640000.0,-41363.906768846355,-333365.9067687988
64,21783.75,49.789271516816164,8410640000.0,-41359.777679067316,-333361.77767944336
65,21784.0,46.62800956944838,8410640000.0,-41355.51202488418,-333357.51202487946
65,21784.25,48.24857680880834,8410640000.0,-41351.472741629,-333353.4727420807
65,21784.5,48.06060007705051,8410640000.0,-41347.35377606965,-333349.3537759781
65,21784.75,47.57042392583193,8410640000.0,-41343.15611890576,-333345.1561193466
66,21785.0,48.52105686363518,8410640000.0,-41339.00437637055,-333341.00437641144
66,21785.25,50.4084778079898,8410640000.0,-41334.929445313464,-333336.9294452667
66,21785.5,46.492970569813565,8410640000.0,-41330.76542965415,-333332.76542949677
66,21785.75,47.4879037558055,8410640000.0,-41326.62821218678,-333328.6282119751
67,21786.0,47.97878314949542,8410640000.0,-41322.48509504765,-333324.4850950241
67,21786.25,47.57329524251589,8410640000.0,-41318.34835299111,-333320.3483533859
67,21786.5,47.24502197377164,8410640000.0,-41314.20958704003,-333316.20958709717
67,21786.75,47.503068772126866,8410640000.0,-41309.96371844208,-333311.9637184143
68,21787.0,47.88188810152921,8410640000.0,-41306.071567599465,-333308.0715675354
68,21787.25,47.03636172945572,8410640000.0,-41301.89048250291,-333303.8904829025
68,21787.5,48.789390143333975,8410640000.0,-41297.725614838586,-333299.72561454773
68,21787.75,47.47036193553821,8410640000.0,-41293.609186854905,-333295.60918712616
69,21788.0,47.299090834553496,8410640000.0,-41289.436555935994,-333291.4365558624
69,21788.25,48.83453059295185,8410640000.0,-41285.3558291252,-333287.3558292389
69,21788.5,46.030361878340116,8410640000.0,-41281.16491943229,-333283.1649198532
69,21788.75,47.17837701317818,8410640000.0,-41277.177512032176,-333279.1775121689
70,21789.0,47.892229941482846,8410640000.0,-41272.85932518333,-333274.85932540894
70,21789.25,47.81023076468493,8410640000.0,-41268.760868290425,-333270.7608680725
70,21789.5,48.88520953350686,8410640000.0,-41264.636468481185,-333266.6364688873
70,21789.75,48.98808217226049,8410640000.0,-41260.46130129745,-333262.4613008499
71,21790.0,48.095586113154035,8410640000.0,-41256.38978574985,-333258.3897857666
71,21790.25,47.765104483460014,8410640000.0,-41252.16764402806,-333254.16764450073
71,21790.5,47.4222483347837,8410640000.0,-41248.09093473774,-333250.0909347534
71,21790.75,46.2887660214205,8410640000.0,-41243.969341090386,-333245.9693412781
72,21791.0,47.01287518155104,8410640000.0,-41239.800676133586,-333241.8006763458
72,21791.25,48.250961945241606,8410640000.0,-41235.555358093035,-333237.55535793304
72,21791.5,47.28190375009068,8410640000.0,-41231.44560430045,-333233.44560432434
72,21791.75,48.409699419283925,8410640000.0,-41227.36291510813,-333229.36291503906
73,21792.0,49.403881776789035,8410640000.0,-41223.28240391731,-333225.2824039459
73,21792.25,48.03916941285058,8410640000.0,-41219.06105682383,-333221.06105709076
73,21792.5,48.450757467830094,8410640000.0,-41214.833867466696,-333216.83386707306
73,21792.75,46.88019252809655,8410640000.0,-41210.72657631709,-333212.72657585144
74,21793.0,47.25479542369052,8410640000.0,-41206.57592810534,-333208.5759277344
74,21793.25,48.08306028627681,8410640000.0,-41202.46899845167,-333204.468998909
74,21793.5,47.863354180856135,8410640000.0,-41198.24072627383,-333200.24072647095
74,21793.75,47.510566580804685,8410640000.0,-41194.23676932641,-333196.2367696762
75,21794.0,47.44417061581319,8410640000.0,-41190.04933884392,-333192.04933929443
75,21794.25,47.81980667883734,8410640000.0,-41186.06238032413,-333188.0623807907
75,21794.5,47.285967273637795,8410640000.0,-41181.84073504266,-333183.8407354355
75,21794.75,47.046236756469575,8410640000.0,-41177.70048992288,-333179.70048999786
76,21795.0,48.79351677231873,8410640000.0,-41173.48029662639,-333175.4802970886
76,21795.25,47.769100626388685,8410640000.0,-41169.304399085064,-333171.30439949036
76,21795.5,50.03242831842712,8410640000.0,-41165.19892951779,-333167.1989297867
76,21795.75,47.18901256021313,8410640000.0,-41161.07632046317,-333163.0763206482
77,21796.0,47.37573487126711,8410640000.0,-41156.93719982202,-333158.9371995926
77,21796.25,46.994995493241454,8410640000.0,-41152.746803908056,-333154.74680423737
77,21796.5,49.50916331818694,8410640000.0,-41148.58484530921,-333150.5848455429
77,21796.75,46.93146016703336,8410640000.0,-41144.50154393378,-333146.5015439987
78,21797.0,47.06381850854736,8410640000.0,-41140.40750295941,-333142.40750312805
78,21797.25,45.826161423884415,8410640000.0,-41136.194155564604,-333138.19415569305
78,21797.5,46.03872599893826,8410640000.0,-41131.99873830394,-333133.9987382889
78,21797.75,47.175637322543814,8410640000.0,-41127.86389159734,-333129.86389160156
79,21798.0,47.43731741828138,8410640000.0,-41123.66167476745,-333125.6616744995
79,21798.25,46.544581547212616,8410640000.0,-41119.60722043848,-333121.6072206497
79,21798.5,47.84161596884353,8410640000.0,-41115.41603063185,-333117.4160308838
79,21798.75,47.85616727435994,8410640000.0,-41111.38412071716,-333113.38412094116
80,21799.0,47.44667282887028,8410640000.0,-41107.111380696166,-333109.1113805771
80,21799.25,45.700890793921275,8410640000.0,-41102.94716665257,-333104.9471664429
80,21799.5,48.22917153828315,8410640000.0,-41098.93135747297,-333100.9313573837
80,21799.75,47.36123033256704,8410640000.0,-41094.760931909084,-333096.7609319687
81,21800.0,48.008081470296496,8410640000.0,-41090.50991379932,-333092.5099134445
81,21800.25,46.280506681884866,8410640000.0,-41086.20836892524,-333088.20836925507
81,21800.5,47.54696008713483,8410640000.0,-41082.23084801787,-333084.2308483124
81,21800.75,47.43878863382176,8410640000.0,-41078.06199951408,-333080.061999321
82,21801.0,46.4186757828181,8410640000.0,-41073.8816937154,-333075.88169384
82,21801.25,47.56962453503993,8410640000.0,-41069.69617611194,-333071.69617652893
82,21801.5,47.90889554961613,8410640000.0,-41065.587321111976,-333067.58732128143
82,21801.75,46.39384212299671,8410640000.0,-41061.4541554497,-333063.45415592194
83,21802.0,45.12356987249616,8410640000.0,-41057.29844561345,-333059.2984457016
83,21802.25,46.653361398649075,8410640000.0,-41053.10448881149,-333055.1044883728
83,21802.5,46.92379100334852,8410640000.0,-41048.96765125656,-333050.9676513672
83,21802.75,46.87558750749898,8410640000.0,-41044.83523055422,-333046.83523082733
84,21803.0,47.82128379483915,8410640000.0,-41040.64593717507,-333042.64593696594
84,21803.25,48.3024405316436,8410640000.0,-41036.499208450514,-333038.4992084503
84,21803.5,47.93121865672735,8410640000.0,-41032.290859854525,-333034.2908601761
84,21803.75,45.63994429992993,8410640000.0,-41028.19566928615,-333030.1956691742
85,21804.0,47.325380710242015,8410640000.0,-41023.91334666779,-333025.9133462906
85,21804.25,46.537328730675526,8410640000.0,-41019.80152737822,-333021.8015270233
85,21804.5,46.94870719832683,8410640000.0,-41015.774178208594,-333017.77417850494
85,21804.75,47.76552172304112,8410640000.0,-41011.518515499345,-333013.51851558685
86,21805.0,48.85494789801277,8410640000.0,-41007.40697995298,-333009.40697956085
86,21805.25,45.33099632277435,8410640000.0,-41003.21944295272,-333005.2194433212
86,21805.5,46.265529550118536,8410640000.0,-40999.06491892327,-333001.06491851807
86,21805.75,48.11645919617533,8410640000.0,-40994.949573256796,-332996.94957351685
